name,val_loss,val_accuracy,loss,accuracy,runtime,build_fn_params.hidden_activation,build_fn_params.loss,build_fn_params.optimizer,build_fn_params.output_activation,dataset_params.batch_size,dataset_params.color_mode,dataset_params.crop_to_aspect_ratio,dataset_params.image_size.0,dataset_params.image_size.1,dataset_params.interpolation,dataset_params.label_mode,early_stopping_params.patience,fit_params.epochs
plasma_henna,0.12603066861629486,0.9665178656578064,0.06233486160635948,0.9770693778991699,2023-10-31 02:13:08,relu,binary_crossentropy,adam,sigmoid,32,rgb,False,128,128,bilinear,binary,50,10000000000
eastcoast_deflator,0.12702351808547974,0.9575892686843872,0.07705239951610565,0.9793064594268799,2023-10-31 05:27:23,relu,binary_crossentropy,adam,sigmoid,64,grayscale,False,128,128,bilinear,binary,50,10000000000
rematch_briar,0.1319754272699356,0.9665178656578064,0.08706234395503998,0.9714764952659607,2023-10-31 05:04:53,relu,binary_crossentropy,adam,sigmoid,64,grayscale,False,64,64,bilinear,binary,50,10000000000
irregular_entail,0.14889775216579437,0.9598214030265808,0.08735398948192596,0.9860178828239441,2023-10-31 11:35:14,relu,binary_crossentropy,adam,sigmoid,128,grayscale,False,64,64,bilinear,binary,50,10000000000
outsmart_rift,0.16080936789512634,0.9397321343421936,0.030024409294128418,0.9955257177352905,2023-10-31 13:14:30,relu,binary_crossentropy,adam,sigmoid,128,grayscale,False,256,256,bilinear,binary,50,10000000000
flaccid_anybody,0.17155642807483673,0.9397321343421936,0.05215656757354736,0.9876957535743713,2023-10-31 17:01:18,relu,binary_crossentropy,adam,sigmoid,128,rgb,False,256,256,bilinear,binary,50,10000000000
outcome_hardwired,0.17167183756828308,0.9486607313156128,0.06355979293584824,0.9826622009277344,2023-10-31 05:55:08,swish,binary_crossentropy,adam,sigmoid,64,grayscale,False,128,128,bilinear,binary,50,10000000000
imperial_unclothed,0.1726647913455963,0.9508928656578064,0.07186384499073029,0.9815436005592346,2023-10-31 08:38:46,relu,binary_crossentropy,adam,sigmoid,64,rgb,False,128,128,bilinear,binary,50,10000000000
pureness_gore,0.1744692027568817,0.9464285969734192,0.08836013078689575,0.969239354133606,2023-10-31 15:22:44,relu,binary_crossentropy,adam,sigmoid,128,rgb,False,64,64,bilinear,binary,50,10000000000
fretted_grumble,0.17988303303718567,0.9486607313156128,0.11585675925016403,0.959172248840332,2023-10-31 01:50:17,relu,binary_crossentropy,adam,sigmoid,32,rgb,False,64,64,bilinear,binary,50,10000000000
pancreas_quartet,0.1890944242477417,0.9330357313156128,0.09579794108867645,0.9697986841201782,2023-10-31 11:40:46,selu,binary_crossentropy,adam,sigmoid,128,grayscale,False,64,64,bilinear,binary,50,10000000000
flagpole_handshake,0.18982519209384918,0.9375,0.12086252868175507,0.9558165669441223,2023-10-31 08:03:34,relu,binary_crossentropy,adam,sigmoid,64,rgb,False,32,32,bilinear,binary,50,10000000000
shaping_sibling,0.19162431359291077,0.9308035969734192,0.09271383285522461,0.9731543660163879,2023-10-30 23:59:02,relu,binary_crossentropy,adam,sigmoid,32,grayscale,False,256,256,bilinear,binary,50,10000000000
parade_manor,0.19178740680217743,0.921875,0.11201472580432892,0.9574943780899048,2023-10-31 04:52:06,relu,binary_crossentropy,adam,sigmoid,64,grayscale,False,32,32,bilinear,binary,50,10000000000
grief_driven,0.1948886215686798,0.9441964030265808,0.13736975193023682,0.9535794258117676,2023-10-30 22:04:24,relu,binary_crossentropy,adam,sigmoid,32,grayscale,False,64,64,bilinear,binary,50,10000000000
islamist_backward,0.19583450257778168,0.9397321343421936,0.16131506860256195,0.9407159090042114,2023-10-31 15:00:05,relu,binary_crossentropy,adam,sigmoid,128,rgb,False,32,32,bilinear,binary,50,10000000000
defiant_that,0.2041943520307541,0.9263392686843872,0.12245792895555496,0.9597315192222595,2023-10-31 03:14:38,relu,binary_crossentropy,adam,sigmoid,32,rgb,False,256,256,bilinear,binary,50,10000000000
dotted_postwar,0.2048865705728531,0.9241071343421936,0.17210876941680908,0.9373601675033569,2023-10-31 01:37:46,relu,binary_crossentropy,adam,sigmoid,32,rgb,False,32,32,bilinear,binary,50,10000000000
crisping_uncaring,0.20757190883159637,0.921875,0.19591213762760162,0.9228187799453735,2023-10-31 15:11:15,swish,binary_crossentropy,adam,sigmoid,128,rgb,False,32,32,bilinear,binary,50,10000000000
refill_manual,0.20906572043895721,0.9308035969734192,0.15272276103496552,0.9446308612823486,2023-10-30 22:18:43,swish,binary_crossentropy,adam,sigmoid,32,grayscale,False,64,64,bilinear,binary,50,10000000000
ancient_shortcut,0.2106775939464569,0.9263392686843872,0.19917872548103333,0.923378050327301,2023-10-31 01:45:00,swish,binary_crossentropy,adam,sigmoid,32,rgb,False,32,32,bilinear,binary,50,10000000000
jaywalker_hangover,0.21193146705627441,0.9330357313156128,0.15310411155223846,0.9502236843109131,2023-10-31 02:00:57,swish,binary_crossentropy,adam,sigmoid,32,rgb,False,64,64,bilinear,binary,50,10000000000
finer_racoon,0.21301081776618958,0.9352678656578064,0.09174086898565292,0.9753915071487427,2023-10-31 16:18:40,swish,binary_crossentropy,adam,sigmoid,128,rgb,False,128,128,bilinear,binary,50,10000000000
tilt_marry,0.21547536551952362,0.9330357313156128,0.08611959218978882,0.9748322367668152,2023-10-31 15:29:29,selu,binary_crossentropy,adam,sigmoid,128,rgb,False,64,64,bilinear,binary,50,10000000000
opium_unleash,0.21796151995658875,0.9285714030265808,0.11965395510196686,0.959172248840332,2023-10-31 12:00:49,relu,binary_crossentropy,adam,sigmoid,128,grayscale,False,128,128,bilinear,binary,50,10000000000
immovable_finite,0.2229718416929245,0.9174107313156128,0.17807191610336304,0.9418344497680664,2023-10-31 08:28:08,swish,binary_crossentropy,adam,sigmoid,64,rgb,False,64,64,bilinear,binary,50,10000000000
flashing_stonewall,0.22315500676631927,0.9375,0.10564293712377548,0.9647650718688965,2023-10-31 01:55:28,selu,binary_crossentropy,adam,sigmoid,32,rgb,False,64,64,bilinear,binary,50,10000000000
patience_rimmed,0.2278209924697876,0.9241071343421936,0.11898240447044373,0.9597315192222595,2023-10-31 08:18:07,relu,binary_crossentropy,adam,sigmoid,64,rgb,False,64,64,bilinear,binary,50,10000000000
onyx_native,0.22782543301582336,0.921875,0.1428423374891281,0.9513422846794128,2023-10-31 11:14:53,relu,binary_crossentropy,adam,sigmoid,128,grayscale,False,32,32,bilinear,binary,50,10000000000
turkey_unmasking,0.23179027438163757,0.9241071343421936,0.05326934903860092,0.9932885766029358,2023-10-31 10:24:52,selu,binary_crossentropy,adam,sigmoid,64,rgb,False,256,256,bilinear,binary,50,10000000000
affection_straddle,0.2379012405872345,0.9129464030265808,0.21634355187416077,0.9250559210777283,2023-10-31 04:59:13,swish,binary_crossentropy,adam,sigmoid,64,grayscale,False,32,32,bilinear,binary,50,10000000000
jeep_amazingly,0.23841595649719238,0.9151785969734192,0.2416870892047882,0.9026845693588257,2023-10-30 21:58:05,swish,binary_crossentropy,adam,sigmoid,32,grayscale,False,32,32,bilinear,binary,50,10000000000
skid_kite,0.23985014855861664,0.9196428656578064,0.12051895260810852,0.963087260723114,2023-10-31 15:46:09,relu,binary_crossentropy,adam,sigmoid,128,rgb,False,128,128,bilinear,binary,50,10000000000
cavalier_unexposed,0.24134878814220428,0.9174107313156128,0.18460220098495483,0.9345637559890747,2023-10-30 21:54:42,selu,binary_crossentropy,adam,sigmoid,32,grayscale,False,32,32,bilinear,binary,50,10000000000
flatworm_armadillo,0.24140693247318268,0.921875,0.11673195660114288,0.9653244018554688,2023-10-30 22:10:08,selu,binary_crossentropy,adam,sigmoid,32,grayscale,False,64,64,bilinear,binary,50,10000000000
nephew_promoter,0.24305419623851776,0.9174107313156128,0.17003439366817474,0.9418344497680664,2023-10-31 11:18:30,selu,binary_crossentropy,adam,sigmoid,128,grayscale,False,32,32,bilinear,binary,50,10000000000
popsicle_only,0.2463769167661667,0.9017857313156128,0.12983478605747223,0.9608501195907593,2023-10-30 22:31:19,relu,binary_crossentropy,adam,sigmoid,32,grayscale,False,128,128,bilinear,binary,50,10000000000
occultist_swooned,0.24690532684326172,0.9017857313156128,0.14503149688243866,0.9535794258117676,2023-10-31 15:05:19,selu,binary_crossentropy,adam,sigmoid,128,rgb,False,32,32,bilinear,binary,50,10000000000
playpen_consonant,0.24763056635856628,0.90625,0.20613577961921692,0.9250559210777283,2023-10-31 11:22:20,swish,binary_crossentropy,adam,sigmoid,128,grayscale,False,32,32,bilinear,binary,50,10000000000
evolve_unfazed,0.2511013448238373,0.8995535969734192,0.04563460871577263,0.996084988117218,2023-10-31 03:53:55,selu,binary_crossentropy,adam,sigmoid,32,rgb,False,256,256,bilinear,binary,50,10000000000
justness_staring,0.2514796257019043,0.9017857313156128,0.038523562252521515,0.994966447353363,2023-10-31 08:50:44,selu,binary_crossentropy,adam,sigmoid,64,rgb,False,128,128,bilinear,binary,50,10000000000
escalate_feminine,0.2530944049358368,0.9129464030265808,0.1651225984096527,0.9524608254432678,2023-10-31 00:42:27,selu,binary_crossentropy,adam,sigmoid,32,grayscale,False,256,256,bilinear,binary,50,10000000000
exclaim_gorged,0.2543027698993683,0.8995535969734192,0.19730161130428314,0.9334452152252197,2023-10-31 08:11:34,swish,binary_crossentropy,adam,sigmoid,64,rgb,False,32,32,bilinear,binary,50,10000000000
clad_chatter,0.2550508677959442,0.8816964030265808,0.15949159860610962,0.9412751793861389,2023-10-31 08:07:21,selu,binary_crossentropy,adam,sigmoid,64,rgb,False,32,32,bilinear,binary,50,10000000000
feminist_powdery,0.25676229596138,0.9040178656578064,0.2330123633146286,0.9149888157844543,2023-10-31 06:28:19,relu,binary_crossentropy,adam,sigmoid,64,grayscale,False,256,256,bilinear,binary,50,10000000000
zips_nutshell,0.2572488486766815,0.9174107313156128,0.14542241394519806,0.9479866027832031,2023-10-31 04:46:33,swish,binary_crossentropy,adam,sigmoid,32,rgb,False,256,256,bilinear,binary,50,10000000000
ladder_uncolored,0.2594292461872101,0.9040178656578064,0.15944528579711914,0.9429529905319214,2023-10-31 01:41:18,selu,binary_crossentropy,adam,sigmoid,32,rgb,False,32,32,bilinear,binary,50,10000000000
oblivious_thirsting,0.26537200808525085,0.9107142686843872,0.1882660835981369,0.9267337918281555,2023-10-31 15:35:08,swish,binary_crossentropy,adam,sigmoid,128,rgb,False,64,64,bilinear,binary,50,10000000000
bullseye_wince,0.27232494950294495,0.90625,0.12438920140266418,0.969239354133606,2023-10-31 17:54:35,selu,binary_crossentropy,adam,sigmoid,128,rgb,False,256,256,bilinear,binary,50,10000000000
congress_hedging,0.2734466791152954,0.90625,0.14733339846134186,0.9491051435470581,2023-10-31 04:54:56,selu,binary_crossentropy,adam,sigmoid,64,grayscale,False,32,32,bilinear,binary,50,10000000000
payroll_hydroxide,0.2749514877796173,0.9017857313156128,0.15795934200286865,0.9524608254432678,2023-10-31 13:55:22,selu,binary_crossentropy,adam,sigmoid,128,grayscale,False,256,256,bilinear,binary,50,10000000000
tremor_undrafted,0.27666208148002625,0.9017857313156128,0.12959034740924835,0.9546979665756226,2023-10-31 11:50:25,swish,binary_crossentropy,adam,sigmoid,128,grayscale,False,64,64,bilinear,binary,50,10000000000
value_president,0.2796698212623596,0.890625,0.11180207133293152,0.968120813369751,2023-10-31 05:09:24,selu,binary_crossentropy,adam,sigmoid,64,grayscale,False,64,64,bilinear,binary,50,10000000000
propose_snazzy,0.2886391282081604,0.9107142686843872,0.15484732389450073,0.9474272727966309,2023-10-31 09:05:27,swish,binary_crossentropy,adam,sigmoid,64,rgb,False,128,128,bilinear,binary,50,10000000000
jackknife_curable,0.29141828417778015,0.8816964030265808,0.1474032998085022,0.9519015550613403,2023-10-31 09:41:01,relu,binary_crossentropy,adam,sigmoid,64,rgb,False,256,256,bilinear,binary,50,10000000000
thorn_coliseum,0.29477137327194214,0.8883928656578064,0.21787898242473602,0.9205816388130188,2023-10-31 05:13:32,swish,binary_crossentropy,adam,sigmoid,64,grayscale,False,64,64,bilinear,binary,50,10000000000
unusable_extended,0.29572638869285583,0.9084821343421936,0.17365819215774536,0.9418344497680664,2023-10-31 18:58:57,swish,binary_crossentropy,adam,sigmoid,128,rgb,False,256,256,bilinear,binary,50,10000000000
gliding_catfight,0.2981276214122772,0.8794642686843872,0.07187429815530777,0.9882550239562988,2023-10-31 07:06:08,selu,binary_crossentropy,adam,sigmoid,64,grayscale,False,256,256,bilinear,binary,50,10000000000
upheaval_last,0.30091458559036255,0.8973214030265808,0.1425427943468094,0.9502236843109131,2023-10-31 01:33:50,swish,binary_crossentropy,adam,sigmoid,32,grayscale,False,256,256,bilinear,binary,50,10000000000
ebay_oozy,0.3009966313838959,0.8839285969734192,0.18528403341770172,0.9356823563575745,2023-10-31 02:37:48,swish,binary_crossentropy,adam,sigmoid,32,rgb,False,128,128,bilinear,binary,50,10000000000
siamese_engine,0.3066525161266327,0.8973214030265808,0.1824214905500412,0.9334452152252197,2023-10-31 14:54:58,swish,binary_crossentropy,adam,sigmoid,128,grayscale,False,256,256,bilinear,binary,50,10000000000
late_strike,0.3110491931438446,0.890625,0.18985703587532043,0.9345637559890747,2023-10-31 07:57:08,swish,binary_crossentropy,adam,sigmoid,64,grayscale,False,256,256,bilinear,binary,50,10000000000
phantom_reliably,0.31565117835998535,0.8839285969734192,0.14780984818935394,0.959172248840332,2023-10-31 15:58:15,selu,binary_crossentropy,adam,sigmoid,128,rgb,False,128,128,bilinear,binary,50,10000000000
recant_glaring,0.3156616985797882,0.8995535969734192,0.09783525764942169,0.9809843301773071,2023-10-31 12:13:31,selu,binary_crossentropy,adam,sigmoid,128,grayscale,False,128,128,bilinear,binary,50,10000000000
unholy_emoticon,0.32009655237197876,0.8816964030265808,0.11158206313848495,0.9670022130012512,2023-10-31 08:22:56,selu,binary_crossentropy,adam,sigmoid,64,rgb,False,64,64,bilinear,binary,50,10000000000
geologist_quarrel,0.33448800444602966,0.8772321343421936,0.25727686285972595,0.900447428226471,2023-10-31 02:23:41,selu,binary_crossentropy,adam,sigmoid,32,rgb,False,128,128,bilinear,binary,50,10000000000
unissued_shuffle,0.3353167474269867,0.8772321343421936,0.12361446768045425,0.9658836722373962,2023-10-30 22:45:03,selu,binary_crossentropy,adam,sigmoid,32,grayscale,False,128,128,bilinear,binary,50,10000000000
remake_negligent,0.34522709250450134,0.8727678656578064,0.2628400921821594,0.9060402512550354,2023-10-31 12:29:55,swish,binary_crossentropy,adam,sigmoid,128,grayscale,False,128,128,bilinear,binary,50,10000000000
spool_essential,0.34993672370910645,0.8683035969734192,0.1999811828136444,0.9401565790176392,2023-10-31 05:37:42,selu,binary_crossentropy,adam,sigmoid,64,grayscale,False,128,128,bilinear,binary,50,10000000000
sizable_lunacy,0.3506956398487091,0.8660714030265808,0.2537059783935547,0.9049217104911804,2023-10-30 23:05:23,swish,binary_crossentropy,adam,sigmoid,32,grayscale,False,128,128,bilinear,binary,50,10000000000
unlined_handgrip,0.40127310156822205,0.828125,0.43718111515045166,0.8003355860710144,2023-10-31 11:10:53,swish,binary_crossentropy,adam,sigmoid,64,rgb,False,256,256,bilinear,binary,50,10000000000
sip_elm,0.6931471228599548,0.5,0.6931813359260559,0.4642058312892914,2023-10-30 21:51:54,relu,binary_crossentropy,adam,sigmoid,32,grayscale,False,32,32,bilinear,binary,50,10000000000
